"BB07-1";"Trapezoid";"Trapezoid";"en"
"BB07-1";"Trapezoid";"Trapezoidal";"ro"
"BB07-1";"Trapezoid";"Trapezoid";"ru"
"BC01-4";"With metal frames";"With metal frames";"en"
"BC01-4";"With metal frames";"Cu cadru metalic";"ro"
"BC01-4";"With metal frames";"With metal frames";"ru"
"BC02-7";"With plastic frames";"With plastic frames";"en"
"BC02-7";"With plastic frames";"Cu rame din plastic";"ro"
"BC02-7";"With plastic frames";"With plastic frames";"ru"
"BC03-0";"With wooden frames";"With wooden frames";"en"
"BC03-0";"With wooden frames";"Cu rame din lemn";"ro"
"BC03-0";"With wooden frames";"With wooden frames";"ru"
"BC04-3";"Clad with gold";"Clad with gold";"en"
"BC04-3";"Clad with gold";"Placat cu aur";"ro"
"BC04-3";"Clad with gold";"Clad with gold";"ru"
"BC05-6";"Clad with platinum";"Clad with platinum";"en"
"BC05-6";"Clad with platinum";"Placat cu platină";"ro"
"BC05-6";"Clad with platinum";"Clad with platinum";"ru"
"BC06-9";"Clad with silver";"Clad with silver";"en"
"BC06-9";"Clad with silver";"Placat cu argint";"ro"
"BC06-9";"Clad with silver";"Clad with silver";"ru"
"BC07-2";"Steel-framed";"Steel-framed";"en"
"BC07-2";"Steel-framed";"Cu structură de oţel";"ro"
"BC07-2";"Steel-framed";"Steel-framed";"ru"
"BC08-5";"Veneer";"Veneer";"en"
"BC08-5";"Veneer";"Furnir";"ro"
"BC08-5";"Veneer";"Veneer";"ru"
"BC09-8";"Non-cast";"Non-cast";"en"
"BC09-8";"Non-cast";"Neturnat";"ro"
"BC09-8";"Non-cast";"Non-cast";"ru"
"BC10-1";"Upholstered";"Upholstered";"en"
"BC10-1";"Upholstered";"Tapiţat";"ro"
"BC10-1";"Upholstered";"Upholstered";"ru"
"BC11-4";"Printed";"Printed";"en"
"BC11-4";"Printed";"Tipărit";"ro"
"BC11-4";"Printed";"Printed";"ru"
"BC12-7";"Coloured";"Coloured";"en"
"BC12-7";"Coloured";"Colorat";"ro"
"BC12-7";"Coloured";"Coloured";"ru"
"BC13-0";"Impregnated";"Impregnated";"en"
"BC13-0";"Impregnated";"Impregnat";"ro"
"BC13-0";"Impregnated";"Impregnated";"ru"
"BC14-3";"Prefabricated";"Prefabricated";"en"
"BC14-3";"Prefabricated";"Prefabricat";"ro"
"BC14-3";"Prefabricated";"Prefabricated";"ru"
"BC15-6";"Plastic coated";"Plastic coated";"en"
"BC15-6";"Plastic coated";"Învelit în plastic";"ro"
"BC15-6";"Plastic coated";"Plastic coated";"ru"
"BC16-9";"In bags";"In bags";"en"
"BC16-9";"In bags";"În pungi";"ro"
"BC16-9";"In bags";"In bags";"ru"
"BC17-2";"In blocks";"In blocks";"en"
"BC17-2";"In blocks";"În blocuri";"ro"
"BC17-2";"In blocks";"In blocks";"ru"
"BC18-5";"In boards";"In boards";"en"
"BC18-5";"In boards";"În plăci";"ro"
"BC18-5";"In boards";"In boards";"ru"
"BC19-8";"In brine";"In brine";"en"
"BC19-8";"In brine";"În saramură";"ro"
"BC19-8";"In brine";"In brine";"ru"
"BC20-1";"In bulk";"In bulk";"en"
"BC20-1";"In bulk";"În vrac";"ro"
"BC20-1";"In bulk";"In bulk";"ru"
"BC21-4";"In cartons";"In cartons";"en"
"BC21-4";"In cartons";"În cartoane";"ro"
"BC21-4";"In cartons";"In cartons";"ru"
"BC22-7";"In cartridges";"In cartridges";"en"
"BC22-7";"In cartridges";"În cartuşe";"ro"
"BC22-7";"In cartridges";"In cartridges";"ru"
"BC23-0";"In cuts";"In cuts";"en"
"BC23-0";"In cuts";"Bucăţi de carne cu os";"ro"
"BC23-0";"In cuts";"In cuts";"ru"
"BC24-3";"In joints";"In joints";"en"
"BC24-3";"In joints";"Bucăţi de carne fără os";"ro"
"BC24-3";"In joints";"In joints";"ru"
"BC25-6";"In lots";"In lots";"en"
"BC25-6";"In lots";"În loturi";"ro"
"BC25-6";"In lots";"In lots";"ru"
"BC26-9";"In oil";"In oil";"en"
"BC26-9";"In oil";"În ulei";"ro"
"BC26-9";"In oil";"In oil";"ru"
"BC27-2";"In packets";"In packets";"en"
"BC27-2";"In packets";"În pachete";"ro"
"BC27-2";"In packets";"In packets";"ru"
"BC28-5";"In pouches";"In pouches";"en"
"BC28-5";"In pouches";"În punguţe";"ro"
"BC28-5";"In pouches";"In pouches";"ru"
"BC29-8";"In reams";"In reams";"en"
"BC29-8";"In reams";"În stive";"ro"
"BC29-8";"In reams";"In reams";"ru"
"BC30-1";"In rods";"In rods";"en"
"BC30-1";"In rods";"În tije";"ro"
"BC30-1";"In rods";"In rods";"ru"
"BC31-4";"In rolls";"In rolls";"en"
"BC31-4";"In rolls";"În role";"ro"
"BC31-4";"In rolls";"In rolls";"ru"
"BC32-7";"In sachets";"In sachets";"en"
"BC32-7";"In sachets";"În săculeţe";"ro"
"BC32-7";"In sachets";"In sachets";"ru"
"BC33-0";"In sacks";"In sacks";"en"
"BC33-0";"In sacks";"În saci";"ro"
"BC33-0";"In sacks";"In sacks";"ru"
"BC34-3";"In sheets";"In sheets";"en"
"BC34-3";"In sheets";"În foi";"ro"
"BC34-3";"In sheets";"In sheets";"ru"
"BC35-6";"In slices";"In slices";"en"
"BC35-6";"In slices";"Felii";"ro"
"BC35-6";"In slices";"In slices";"ru"
"BC36-9";"In solution";"In solution";"en"
"BC36-9";"In solution";"În soluţie";"ro"
"BC36-9";"In solution";"In solution";"ru"
"BC37-2";"In strips";"In strips";"en"
"BC37-2";"In strips";"În benzi";"ro"
"BC37-2";"In strips";"In strips";"ru"
"BC38-5";"In water";"In water";"en"
"BC38-5";"In water";"În apă";"ro"
"BC38-5";"In water";"In water";"ru"
"BC39-8";"Flavoured";"Flavoured";"en"
"BC39-8";"Flavoured";"Aromatizat";"ro"
"BC39-8";"Flavoured";"Flavoured";"ru"
"BC40-1";"Moulded glass";"Moulded glass";"en"
"BC40-1";"Moulded glass";"Sticlă turnantă";"ro"
"BC40-1";"Moulded glass";"Moulded glass";"ru"
"BC41-4";"Canned/tinned";"Canned/tinned";"en"
"BC41-4";"Canned/tinned";"În conservă";"ro"
"BC41-4";"Canned/tinned";"Canned/tinned";"ru"
"BC42-7";"Bottled";"Bottled";"en"
"BC42-7";"Bottled";"În sticlă";"ro"
"BC42-7";"Bottled";"Bottled";"ru"
"BC43-0";"Vacuum-packed";"Vacuum-packed";"en"
"BC43-0";"Vacuum-packed";"Ambalat în vid";"ro"
"BC43-0";"Vacuum-packed";"Vacuum-packed";"ru"
"BC44-3";"Parboiled";"Parboiled";"en"
"BC44-3";"Parboiled";"Parţial fiert";"ro"
"BC44-3";"Parboiled";"Parboiled";"ru"
"BC45-6";"Recycled";"Recycled";"en"
"BC45-6";"Recycled";"Reciclat";"ro"
"BC45-6";"Recycled";"Recycled";"ru"
"BC46-9";"Sterilised";"Sterilised";"en"
"BC46-9";"Sterilised";"Sterilizat";"ro"
"BC46-9";"Sterilised";"Sterilised";"ru"
"BC48-5";"Toughened";"Toughened";"en"
"BC48-5";"Toughened";"Durificat";"ro"
"BC48-5";"Toughened";"Toughened";"ru"
"CA01-3";"Waterproof";"Waterproof";"en"
